domain,topic,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
Java Basics,Class Structure,What is the minimum requirement for a Java source file to compile and run successfully?,It must contain a public class with a main method.,It must contain a class with a main method.,It must contain a public static void main(String args) method.,It must contain at least one class definition.,It must have a package declaration.,B,"A Java source file only needs to contain a class with a main method to compile and run. The class does not necessarily have to be public, nor does it need a package declaration if it's in the default package."
Java Basics,Main Method,What will be the outcome when this code is executed: public class Test { public static long main(String args) { System.out.println(""Hello""); return 10L; } }?,Hello,It will not print anything.,It will not compile.,It will throw an Error at runtime.,None of the above.,D,"The JVM looks for a main() method with the signature 'public static void main(String args)'. The main() method in the given code has a return type of 'long' instead of 'void'. Because the JVM cannot find the expected main method signature, it will throw a java.lang.NoSuchMethodError at runtime."
Working With Java Data Types,Variable Initialization,What is the default value for an uninitialized instance variable of type double?,0,0.0,null,undefined,It depends on the JVM.,B,"Instance variables (fields) in Java are automatically initialized to their default values if not explicitly assigned. For numeric primitive types like double, the default value is 0.0."
Working With Java Data Types,Wrapper Classes,Which of the following statements will print true when executed?,System.out.println(Boolean.parseBoolean(""true""));,System.out.println(new Boolean(null));,System.out.println(new Boolean());,System.out.println(new Boolean(""True""));,System.out.println(new Boolean(""FALSE""));,A,"Boolean.parseBoolean(String) returns a primitive boolean. It returns true if the string is ""true"" (ignoring case). The other options either return false or cause compilation errors."
Working With Java Data Types,Object Lifecycle,How many objects are created by the time the main method finishes in this code: public class Creator { public Creator() { try { throw new Exception(); } catch (Exception e) {} } public static void main(String args) { Creator c1 = new Creator(); Creator c2 = new Creator(); Creator c3 = c1; } }?,2,3,4,5,6,C,"Two Creator objects are created (c1 and c2). Two Exception objects are created (one in each constructor call). c3 = c1 only creates a new reference, not a new object. Total: 4 objects."
Using Operators and Decision Constructs,Operator Precedence,What is the final value of result? int x = 5; int y = 10; int z = 15; boolean result = x < y && y < z || z > x;,true,false,Compilation error,Runtime error,Depends on JVM,A,"The expression evaluates as: (x < y && y < z) || z > x = (true && true) || true = true || true = true"
Using Operators and Decision Constructs,Ternary Operator,What will be printed by this code? int a = 10; int b = 20; String s = (a > b)? ""A is greater"" : (a < b)? ""B is greater"" : ""A and B are equal""; System.out.println(s);,A is greater,B is greater,A and B are equal,Compilation error,Runtime error,B,"Since a > b is false (10 > 20), it evaluates the second part. Since a < b is true (10 < 20), it returns ""B is greater""."
Using Operators and Decision Constructs,Switch Statement,What is the output of this code? public class Test { public static void main(String args) { int day = 2; switch (day) { case 1: System.out.print(""Monday""); case 2: System.out.print(""Tuesday""); case 3: System.out.print(""Wednesday""); default: System.out.print(""Invalid""); } } },Tuesday,TuesdayWednesday,TuesdayWednesdayInvalid,Compilation error,Runtime error,C,"The switch statement starts at case 2, prints ""Tuesday"", then falls through to case 3 (prints ""Wednesday""), then falls through to default (prints ""Invalid"")."
Using Operators and Decision Constructs,Equality Operators,What will this code print? String s1 = ""Java""; String s2 = new String(""Java""); System.out.println(s1 == s2); System.out.println(s1.equals(s2));,true true,false false,true false,false true,Compilation error,D,"s1 == s2 compares references (false - different objects). s1.equals(s2) compares content (true - same content)."
Creating and Using Arrays,Array Declaration,Which of the following array declarations are valid?,int[] numbers = new int[5];,int[] numbers = new int[5];,int[] numbers = {1, 2, 3};,int[] numbers; numbers = new int[5];,All of the above.,E,"All listed options are valid ways to declare and initialize arrays in Java."
Creating and Using Arrays,Multi-dimensional Arrays,What is the output of this code? int[][] matrix = new int[2][]; matrix[0] = new int[]{1, 2}; matrix[1] = new int[]{3, 4, 5}; System.out.println(matrix[0].length + matrix[1].length);,5,6,7,Compilation error,Runtime error,A,"matrix[0].length is 2, matrix[1].length is 3. Total: 2 + 3 = 5."
Using Loop Constructs,For Loop,What is the output of this code? for (int i = 0; i < 5; i++) { if (i == 2) continue; System.out.print(i); },01234,0134,0123,1234,Compilation error,B,"The loop prints 0, 1, skips 2 (due to continue), prints 3, 4. Output: 0134"
Using Loop Constructs,Do-While Loop,What is the output of this code? int count = 5; do { System.out.print(count-- + "" ""); } while (count >= 0);,5 4 3 2 1 0,5 4 3 2 1,4 3 2 1 0,-1 0 1 2 3 4 5,Compilation error,A,"The do-while loop executes at least once. It prints 5, 4, 3, 2, 1, 0 then stops when count becomes -1."
