ID,Domain,Topic,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation,Created At,Question Type
25,Working with Java Data Types,Primitive Casting and Overflow,"What is the output of the following code?
```java
public class Test {
    public static void main(String[] args) {
        int i = 258;
        byte b = (byte) i;
        System.out.println(b);
    }
}
```",258,2,0,-2,Compilation error,B,"Casting an int to a byte results in overflow when the value exceeds the byte range (-128 to 127).
The value 258 in binary is truncated to fit in 8 bits, which gives us 2.
Specifically, 258 modulo 256 equals 2, so the byte value is 2.",2025-06-19 19:10:39,single
26,Using Operators and Decision Constructs,Nested if/else,"What does the following code print?
```java
public class Test {
    public static void main(String[] args) {
        int x = 5, y = 3;
        if (x < 10)
            if (y < 5)
                System.out.println(""A"");
        else
            System.out.println(""B"");
    }
}
```",A,B,Nothing,Compile error,Runtime exception,A,"The else clause pairs with the nearest if statement.
Here, x < 10 (true) and y < 5 (true) are both true, so it prints ""A"".
The else belongs to the inner if (y < 5).
If y were >= 5, it would print ""B""; if x were >= 10, nothing would be printed.",2025-06-19 19:10:39,single
27,Working with Java Data Types,Wrapper Caching,"What is the output of the following code?
```java
public class Test {
    public static void main(String[] args) {
        Integer i1 = 100, i2 = 100;
        System.out.println(i1 == i2);
        Integer i3 = 128, i4 = 128;
        System.out.println(i3 == i4);
    }
}
```",true true,true false,false true,false false,Compile error,B,"Java caches Integer objects for values in the range -128 to 127 for performance optimization.
Thus i1 and i2 refer to the same cached object (true), but i3 and i4 are outside the cache range and refer to different objects (false).
For values outside the cache range, new Integer objects are created.",2025-06-19 19:10:39,single
28,Using Loop Constructs,Enhanced For Loop,"What is the output of the following code?
```java
public class Test {
    public static void main(String[] args) {
        int[] arr = {1, 2, 3};
        for (int x : arr) {
            x++;
        }
        System.out.println(arr[0]);
    }
}
```",1,2,3,4,Compile error,A,"In an enhanced for loop (for-each), the loop variable x is a copy of the array element, not a reference to it.
Incrementing x does not change the original array elements.
Therefore, arr[0] remains 1.
To modify array elements, you would need to use a traditional for loop with indices.",2025-06-19 19:10:39,single
29,Working with Java Data Types,Autoboxing and NullPointerException,"What happens when the following code is executed?
```java
public class Test {
    public static void main(String[] args) {
        Integer i = null;
        int j = i;
    }
}
```",j will be 0,j will be null,Compilation error,Runtime NullPointerException,j will be uninitialized,D,"When assigning a wrapper object (Integer) to a primitive (int), automatic unboxing occurs.
Since i is null, attempting to unbox it throws a `NullPointerException` at runtime.
Primitives cannot be null, so the unboxing operation fails.",2025-06-19 19:10:39,single
30,Using Loop Constructs,Break Statement,"What is the output of the following code?
```java
public class Test {
    public static void main(String[] args) {
        for (int i = 0; i < 3; i++) {
            if (i == 1) break;
            System.out.print(i);
        }
    }
}
```",012,01,0,1,Compile error,C,"When i becomes 1, the break statement immediately terminates the loop.
The loop prints i for i=0, then when i becomes 1, the break executes before the print statement, so only 0 is printed.
The loop never reaches i=2.",2025-06-19 19:10:39,single
31,Java Basics,Import Statements,"What happens when compiling and running the following code?
```java
import java.util.Date;
import java.sql.Date;

public class Test {
    public static void main(String[] args) {
        Date d = new Date();
    }
}
```",It prints the current date.,Compilation error: reference to Date is ambiguous.,Compilation error: cannot find symbol Date.,It prints 'null'.,Runtime exception (NullPointerException) is thrown.,B,"Two imports bring in classes named Date from different packages (java.util.Date and java.sql.Date), making the reference to Date ambiguous.
The code fails to compile because the compiler cannot determine which Date class to use.
To fix this, you would need to use fully qualified names or import only one of the Date classes.",2025-06-19 19:10:39,single
32,Using Loop Constructs,do-while Loop,"What does the following code print?
```java
public class Test {
    public static void main(String[] args) {
        int i = 3;
        do {
            System.out.println(i);
        } while (i < 3);
    }
}
```",3,Nothing (no output),Infinite loop,Compile error,Runtime error,A,"A do-while loop executes its body at least once before checking the condition.
Here i=3, so it prints 3 once.
Then the condition (i < 3) is evaluated, which is false, so the loop terminates.
The key difference from a while loop is that do-while guarantees at least one execution.",2025-06-19 19:10:39,single
33,Using Operators and Decision Constructs,Switch Statement Fall-Through,"What is the output of the following code?
```java
public class Test {
    public static void main(String[] args) {
        int i = 1;
        switch (i) {
            case 1: System.out.println(""One"");
            case 2: System.out.println(""Two"");
        }
    }
}
```",One Two,One,Two,Compile error,Runtime error,A,"Without break statements, execution falls through to subsequent cases.
With i=1, it matches case 1 and prints ""One"", then continues executing case 2 and prints ""Two"".
This demonstrates the fall-through behavior of switch statements.",2025-06-19 19:10:39,single
34,Working with Inheritance,Static Method Hiding,"What is the output of the following code?
```java
class A {
    static void m() { System.out.println(""A""); }
}
class B extends A {
    static void m() { System.out.println(""B""); }
}
A a = new B();
a.m();
```",A,B,AB,Compile error,Runtime error,A,"Static methods are not overridden; they are hidden.
Method resolution for static methods happens at compile time based on the reference type, not the object type.
Since the reference a is of type A, the compiler resolves the call to A.m(), printing ""A"".
This is different from instance method overriding.",2025-06-19 19:10:39,single
