ID,Domain,Topic,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation,Created At,Question Type
57,Working with Inheritance,Constructor Chaining,"What is the output of the following code?
```java
class A {
    public A() { System.out.print(""A""); }
}
class B extends A {
    public B() { System.out.print(""B""); }
}
new B();
```",A,B,AB,BA,Compile error,C,"When creating an object of class B, constructor chaining occurs.
Java automatically inserts a call to super() as the first statement in B's constructor.
This calls A's constructor first, which prints ""A"", then B's constructor prints ""B"", resulting in ""AB"".",2025-06-19 19:10:39
58,Creating and Using Arrays,Varargs,"What is printed?
```java
public static void m(int... nums) {
    System.out.println(nums.length);
}
// Called with:
m(1, 2, 3);
```",1,3,0,Compile error,Runtime error,B,"Varargs (variable arguments) allows a method to accept zero or more arguments of the specified type.
The arguments are collected into an array.
When m(1, 2, 3) is called, nums becomes an array containing [1, 2, 3], so nums.length is 3.",2025-06-19 19:10:39
59,Using Operators and Decision Constructs,Assignment in if condition,"What does the following code print?
```java
boolean b = false;
if (b = true) {
    System.out.println(""Yes"");
} else {
    System.out.println(""No"");
}
```",Yes,No,Compile error,Runtime error,Nothing,A,"Inside the if condition, b = true is an assignment (not comparison).
The assignment sets b to true and the assignment expression evaluates to true.
Therefore, the if condition is true, and ""Yes"" is printed.
This is a common source of bugs - use == for comparison, = for assignment.",2025-06-19 19:10:39
60,Working with Inheritance,Final Class,"What happens when compiling this code?
```java
final class A {}
class B extends A {}
```",It compiles successfully.,Compile error: cannot inherit from final A.,Runtime error,No output,An exception is thrown,B,"A class declared as final cannot be subclassed.
The final keyword prevents inheritance.
Attempting to declare class B extends final class A results in a compilation error.
This is similar to how final classes like String cannot be extended.",2025-06-19 19:10:39
61,Handling Exceptions,Finally Always Executes,"What is the output?
```java
try {
    System.out.println(1);
} finally {
    System.out.println(2);
}
```",1,2,1 then 2,Compile error,Runtime exception,C,"The try block executes and prints 1.
The finally block always executes after the try block, regardless of whether an exception occurs, printing 2.
Since there's no exception and no return/break statements, both statements execute in order: 1 then 2.",2025-06-19 19:10:39
62,Working with Java Data Types,char Arithmetic,"What does the following code print?
```java
char c = 'A' + 1;
System.out.println(c);
```",A,B,65,Compile error,Runtime error,B,"The character 'A' has ASCII value 65.
Adding 1 yields 66, which corresponds to the character 'B'.
When performing arithmetic on char values, they are promoted to int, but the result can be assigned back to char if it's a compile-time constant.",2025-06-19 19:10:39
63,Working with Java Data Types,Narrowing Conversion,"What happens when compiling this code?
```java
short s = 5;
s = s + 2;
```","It compiles and runs, printing 7",Compile error: cannot convert int to short,It compiles with a warning,Runtime error,Nothing happens,B,"When performing arithmetic operations, operands are promoted to at least int.
The expression s + 2 results in an int value.
Assigning an int to a short requires explicit casting because it's a narrowing conversion.
The correct code would be s = (short)(s + 2) or s += 2 (compound assignment operators include implicit casting).",2025-06-19 19:10:39
64,Working with Methods and Encapsulation,Private Constructor,"What happens if you try to compile and run this?
```java
class A {
    private A() {}
}
// In another class or method:
new A();
```",It compiles successfully.,Compile error: A() has private access.,Runtime error,It prints an empty line,None of the above,B,"The constructor A() is declared private, making it inaccessible from outside the class A.
Attempting to call new A() from outside the class results in a compilation error due to access restriction.
Private constructors are often used in singleton patterns or utility classes.",2025-06-19 19:10:39
65,Handling Exceptions,Catching RuntimeException,"What is the output?
```java
try {
    System.out.println(1/0);
} catch (Exception e) {
    System.out.println(""Exception"");
}
```",1,Exception,No output,Runtime error,Compile error,B,"Division by zero (1/0) throws an `ArithmeticException`, which is a subclass of `RuntimeException`, which is a subclass of Exception.
The catch block for Exception catches the `ArithmeticException` and prints ""Exception"".
The division operation never completes, so 1/0 is never printed.",2025-06-19 19:10:39
66,Working with Inheritance,Private Method Hiding,"What happens if you try to compile and run this?
```java
class A {
    private void m() {}
}
class B extends A {
    public void m() { System.out.println(""B""); }
}
A a = new B();
a.m();
```",It prints B,It prints nothing,Compile error,Runtime error,It prints A,C,"Class A has a private method m(), which is not visible outside of A.
Class B's method m() is not an override but a completely new method since private methods are not inherited.
The reference a of type A cannot access any method m() because A's m() is private and B's m() is not visible through an A reference.
This causes a compilation error.",2025-06-19 19:10:39
67,Working with Java Data Types,Numeric Literals,"What is wrong with the following declaration?
```java
long l = 10000000000;
```",No error; l is 10000000000,Compile error: integer number too large,It prints a random number,Runtime error,It becomes a double,B,"The literal 10000000000 (10 billion) exceeds the range of int (-2,147,483,648 to 2,147,483,647).
Since numeric literals without suffix are treated as int by default, this causes a compilation error.
To create a long literal, append L or l: long l = 10000000000L.",2025-06-19 19:10:39
68,Working with Java Data Types,Float precision,"What is the output of this code?
```java
float f = 0.1f + 0.1f + 0.1f;
System.out.println(f == 0.3f);
```",true,false,Compile error,Runtime error,0.3,B,"Floating-point arithmetic is inherently imprecise due to binary representation limitations.
The sum of three 0.1f values is not exactly equal to 0.3f due to rounding errors in binary floating-point representation.
This demonstrates why direct equality comparisons with floating-point numbers should be avoided in favor of range-based comparisons.",2025-06-19 19:10:39
69,Working with Selected classes from the Java API,String equals,"What is the output?
```java
String s1 = new String(""hello"");
String s2 = new String(""hello"");
System.out.println(s1 == s2);
System.out.println(s1.equals(s2));
```",true true,true false,false true,false false,Compile error,C,"The == operator compares object references, not content.
Since s1 and s2 are created with new String(), they are different objects in memory, so s1 == s2 is false.
The equals() method compares the actual string content, so s1.equals(s2) is true because both strings contain ""hello"".",2025-06-19 19:10:39
70,Working with Selected classes from the Java API,HashMap put,"What does this code print?
```java
Map<String, Integer> map = new HashMap<>();
map.put(""key"", 1);
map.put(""key"", 2);
System.out.println(map.get(""key""));
```",1,2,null,Compile error,Runtime error,B,"HashMap stores key-value pairs where each key is unique.
When put() is called with an existing key, it replaces the previous value.
The first put(""key"", 1) stores the mapping, then put(""key"", 2) replaces the value 1 with 2.
Therefore, map.get(""key"") returns 2.",2025-06-19 19:10:39
71,Working with Selected classes from the Java API,String immutability,"What does the following code print?
```java
String s = ""Hello"";
s.concat(""World"");
System.out.println(s);
```",Hello,HelloWorld,World,Compilation error,Runtime error,A,"String objects are immutable in Java.
The concat() method returns a new String object containing ""HelloWorld"", but this new string is not assigned to any variable.
The original string s remains unchanged and still contains ""Hello"".
To get ""HelloWorld"", you would need to assign the result: s = s.concat(""World"").",2025-06-19 19:10:39
72,Working with Inheritance,Abstract Class,"What is wrong with the following code?
```java
abstract class A {}
class B {
    public static void main(String[] args) {
        A a = new A();
    }
}
```",It prints A,It prints nothing,Compile error: cannot instantiate abstract A.,Runtime error,It compiles successfully,C,"Abstract classes cannot be instantiated directly using the new operator.
They are meant to be extended by concrete classes.
Attempting to create new A() where A is abstract causes a compilation error.
You can only create instances of concrete (non-abstract) subclasses of A.",2025-06-19 19:10:39
73,Working with Selected classes from the Java API,ArrayList contains,"What is the output?
```java
List<Integer> list = new ArrayList<>();
list.add(1);
list.add(2);
System.out.println(list.contains(1));
```",true,false,1,Compile error,Runtime error,A,"ArrayList.contains() returns true if the list contains the specified element, false otherwise.
The list contains the Integer 1 (added first), so list.contains(1) returns true.
The method uses the equals() method to compare elements, and autoboxing handles the conversion between int and Integer.",2025-06-19 19:10:39
74,Working with Methods and Encapsulation,Static vs Instance Methods,"What is the output of this code? 
```java
public class Counter { 
  static int count = 0; 
  public Counter() { 
    count++; 
  } 
  public static void main(String args) { 
    Counter c1 = new Counter(); 
    Counter c2 = new Counter(); 
    System.out.println(Counter.count); 
  } 
}
```",0,1,2,Compilation error,Runtime error,C,"The static variable count is shared by all instances.
Each constructor call increments it: c1 increments to 1, c2 increments to 2.",2025-06-20 19:32:28
75,Working with Methods and Encapsulation,Access Modifiers,"Which access modifier allows a member to be accessed only within its own class?",public,protected,private,default,static,C,"The private access modifier restricts access to members to only within the class where they are declared.",2025-06-20 19:32:28,single
76,Working with Inheritance,Abstract Classes,"Which statement about abstract classes and interfaces is true?",A class can implement multiple abstract classes.,An interface can have concrete methods before Java 8.,An abstract class can have constructors.,All methods in an interface must be abstract.,An abstract class cannot have any concrete methods.,C,"An abstract class can have constructors, though they cannot be directly instantiated.",,single
They are used when a concrete subclass is instantiated.",2025-06-20 19:32:28
77,Handling Exceptions,Checked vs Unchecked Exceptions,"Which of the following is an unchecked exception?",IOException,SQLException,FileNotFoundException,NullPointerException,InterruptedException,D,"`NullPointerException` is a `RuntimeException` and thus an unchecked exception.",,single
The others are checked exceptions.",2025-06-20 19:32:28
78,Working with Java Data Types,Working with Java Data Types,"How many objects are created by the time the main method finishes in this code: 
```java
public class Creator { 
  public Creator() { 
    try { 
      throw new Exception(); 
    } 
    catch (Exception e) {} 
  } 
  public static void main(String args) { 
    Creator c1 = new Creator(); 
    Creator c2 = new Creator(); 
    Creator c3 = c1; 
  } 
}
```",2,3,4,5,6,C,"Two Creator objects are created (c1 and c2).
Two Exception objects are created (one in each constructor call). c3 = c1 only creates a new reference, not a new object.
Total: 4 objects.",2025-06-20 19:32:28
79,Using Operators and Decision Constructs,Operator Precedence,"What is the final value of result? 
```java
int x = 5; 
int y = 10; 
int z = 15; 
boolean result = x < y && y < z || z > x;
```",true,false,Compilation error,Runtime error,Depends on JVM,A,The expression evaluates as: (x < y && y < z) || z > x = (true && true) || true = true || true = true,2025-06-20 19:32:28
80,Working with Java Data Types,Variable Casting and Conversions,"What is the output of this code? 
```java
double d = 10.5; 
int i = (int) d; 
System.out.println(i);
```",10.5,10,11,Compilation error,Runtime error,B,"When a double is cast to an int, the decimal part is truncated (not rounded).
So 10.5 becomes 10.",2025-06-20 19:32:28
81,Handling Exceptions,Exception Handling,"What is correct about this code? 
```java
class A { 
  public void doA() throws Exception { 
    throw new Exception(); 
  } 
} 
class B extends A { 
  public void doB() { 
    doA(); 
  } 
}
```",The code compiles and runs without error.,The code compiles if throws Exception is added to doB().,The code compiles if throws Exception is added to main().,The code compiles if throws Exception is added to doB() AND main().,The code compiles if doA() is enclosed in a try-catch block within doB().,D,"doA() throws a checked exception, so doB() must either handle it or declare it.
If doB() declares it, then main() must also handle or declare it.",2025-06-20 19:32:28
82,Working with Methods and Encapsulation,Method Declaration and Parameters,"What will this program print? 
```java
public class ChangeTest { 
  private int myValue = 0; 
  public void showOne(int myValue) { 
    myValue = myValue; 
  } 
  public void showTwo(int myValue) { 
    this.myValue = myValue; 
  } 
  public static void main(String args) { 
    ChangeTest ct = new ChangeTest(); 
    ct.showTwo(200); 
    System.out.println(ct.myValue); 
    ct.showOne(100); 
    System.out.println(ct.myValue); 
  } 
}
```",0 followed by 100.,100 followed by 100.,0 followed by 200.,100 followed by 200.,200 followed by 200.,E,"showTwo() correctly assigns the parameter to the instance variable using this.myValue. showOne() assigns the parameter to itself due to variable shadowing, not affecting the instance variable.
Result: 200 followed by 200.",2025-06-20 19:32:28
83,Working with Java Data Types,Autoboxing and Unboxing,"What is the output of this code?
```java
Integer a = 10; 
Integer b = 10; 
Integer c = 200; 
Integer d = 200; 
System.out.println(a == b); 
System.out.println(c == d);
```",true true,true false,false true,false false,Compilation error,B,"Integer values between -128 and 127 are cached, so a and b refer to the same object (true).
Values outside this range create new objects, so c and d are different objects (false).",2025-06-20 19:32:28
84,Working with Methods and Encapsulation,Constructors,"Given the class: class MyClass { int x; } Which statement is true about its constructor?",It has an implicit public no-argument constructor.,It has an implicit default constructor that initializes x to 0.,It requires an explicit constructor to be defined.,It will not compile without a constructor.,It has an implicit private no-argument constructor.,B,"If no constructor is explicitly defined, Java provides a default no-argument constructor that initializes instance variables to their default values (int x to 0).",2025-06-20 19:32:28,single
